Timestamp;Map;PlayersNumber;TeamComposition;EnemyComposition;Duration;Victory;KillingBlows;Damage;Healing;Honor;RatingChange;MMR;EnemyMMR;Specialization;isRated
1616504873;1504;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PRIEST-Discipline-Wizix-Archimonde,WARLOCK-Affliction-Entrâxx-LaCroisadeécarlate;182;false;0;122909;128429;0;-12;1592;1599;Fire;true
1616504615;1911;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PALADIN-Holy-Medhaugn-Sylvanas,WARLOCK-Demonology-Mesmerias-Kazzak;84;true;1;106388;41230;0;11;1567;1558;Fire;true
1616504430;980;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;DEMONHUNTER-Havoc-Azyri-Antonidas,DRUID-Restoration-Todots-Outland;21;true;0;17816;0;0;11;1541;1538;Fire;true
1616504245;980;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;DEMONHUNTER-Havoc-Rahmala-Zul'jin,SHAMAN-Restoration-Egoitz-Zul'jin;30;true;0;46863;0;0;10;1515;1515;Fire;true
1616504116;1911;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PALADIN-Retribution-Podzøbb,ROGUE-Subtlety-Wïddss-Archimonde;66;false;0;66328;87695;0;-13;1541;1542;Fire;true
1616503957;1504;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;MAGE-Fire-Satanîc-Outland,PRIEST-Shadow-Likechris-Ravencrest;89;true;0;47207;7313;0;10;1516;1504;Fire;true
1616503794;1134;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PALADIN-Holy-Richiks-Outland,WARRIOR-Arms-Herzxwarrior-Blackrock;151;false;0;100763;72101;0;-13;1543;1542;Fire;true
1616503564;1134;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PRIEST-Discipline-Miqistsoneqt-Eredar,WARRIOR-Arms-Geløgødx-Eredar;208;false;0;80236;88131;0;-13;1568;1572;Fire;true
1616503267;1504;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;DRUID-Restoration-Fritöse-Antonidas,WARRIOR-Arms-Njxi-Antonidas;28;true;1;34583;0;0;11;1542;1544;Fire;true
1616503148;1911;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PRIEST-Discipline-Barthomeos-Blackmoore,SHAMAN-Elemental-Lhuggster-Frostwolf;70;true;1;73098;24939;0;10;1515;1516;Fire;true
1616502996;572;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PRIEST-Holy-Gallomi-Stormscale,WARLOCK-Affliction-Dommik-Silvermoon;31;true;1;48262;6811;0;10;1487;1497;Fire;true
1616502857;1552;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PALADIN-Retribution-Zordochpala-Ravencrest,SHAMAN-Restoration-Clapsham-Kazzak;72;true;1;57346;32456;0;9;1460;1464;Fire;true
1616502384;1552;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PRIEST-Discipline-Skaggs-Stormreaver,WARRIOR-Arms-Jerekyy-Stormreaver;28;true;1;60345;15453;0;9;1487;1475;Fire;true
1616502232;617;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PALADIN-Holy-Huffran-TwistingNether,SHAMAN-Elemental-Natosx-TwistingNether;198;false;0;87635;89130;0;-14;1514;1519;Fire;true
1615986073;1911;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PRIEST-Shadow-Angrymerlin-Stormscale,WARLOCK-Affliction-Nonesens-Kazzak;107;true;0;101281;52951;0;12;1555;1556;Fire;true
1615985885;572;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PALADIN-Holy-Helltribute-Nemesis,WARLOCK-Demonology-Samukazen-Nemesis;145;false;0;168099;42893;0;-12;1582;1576;Fire;true
1615985634;1672;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PRIEST-Discipline-Cryptoclicky-Outland,WARLOCK-Affliction-Voidovski-Silvermoon;52;false;0;55785;33943;0;-12;1608;1608;Fire;true
1615985466;980;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;DRUID-Restoration-Canebello-Outland,HUNTER-Beast Mastery-Xeld-Outland;62;true;0;83794;13211;0;12;1582;1580;Fire;true
1615985313;1552;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;ROGUE-Subtlety-Шадоувехбест-Ревущийфьорд,ROGUE-Subtlety-Шульф-Борейскаятундра;161;false;0;28486;42022;0;-12;1609;1605;Fire;true
1615985017;1911;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PALADIN-Holy-Дэнсити-Гордунни,WARRIOR-Arms-Senteni-Ravencrest;54;true;1;83081;15850;0;12;1583;1583;Fire;true
1615984886;572;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;DEMONHUNTER-Havoc-Tomoenage-Hyjal,PALADIN-Holy-Sioven-Hyjal;72;false;0;12699;53773;0;-11;1608;1614;Fire;true
1615984700;1672;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;DRUID-Balance-Bomkinglordx-Kor'gall,PALADIN-Holy-Jittob-Stormscale;104;true;1;154636;31084;0;12;1583;1577;Fire;true
1615984511;1134;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;MAGE-Fire-Izoldeh-Draenor,ROGUE-Subtlety-Purehaze-TwistingNether;84;false;0;87883;24368;0;-11;1609;1610;Fire;true
1615984319;1911;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PRIEST-Discipline-Handicapable-Draenor,ROGUE-Subtlety-Сейдоз-Корольлич;90;true;1;63877;56968;0;12;1581;1591;Fire;true
1615983928;572;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PALADIN-Holy-Zeall-TarrenMill,ROGUE-Assassination-Rofllmfao-Draenor;157;false;0;107899;128111;0;-11;1634;1635;Fire;true
1615983682;2373;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PALADIN-Retribution-Быкулетти-Ревущийфьорд,WARRIOR-Arms-Бигусдикус-Ревущийфьорд;38;true;0;58697;31582;0;12;1610;1596;Fire;true
1615983506;1911;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PRIEST-Holy-Dabzp-Emeriss,WARRIOR-Arms-Narzul-Kazzak;62;true;0;101653;12534;0;12;1585;1577;Fire;true
1615983362;2167;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;SHAMAN-Enhancement-Blackpack-Draenor,SHAMAN-Restoration-Killrogge-Outland;153;false;0;145096;24848;0;-11;1611;1614;Fire;true
1615983116;1134;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PRIEST-Shadow-Cøsmøs-Archimonde,ROGUE-Assassination-Pwdlolz-Archimonde;66;true;0;71178;9284;0;12;1583;1590;Fire;true
1615982707;1504;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;DEMONHUNTER-Havoc-Dinoraper-Darkspear,PRIEST-Discipline-Fürdösnövér-Darkspear;175;false;0;156551;104805;0;-11;1635;1640;Fire;true
1615982434;1552;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;DRUID-Balance-Blblbllol-Garona,ROGUE-Subtlety-Ptijø-Garona;116;true;1;89910;13099;0;13;1610;1605;Fire;true
1615982228;1552;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;MAGE-Fire-Iyliana-Antonidas,ROGUE-Subtlety-Bârbaritas-LaCroisadeécarlate;116;true;1;99613;55478;0;12;1583;1585;Fire;true
1615982022;1134;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;DEATHKNIGHT-Frost-Vetexx-Drak'thul,SHAMAN-Enhancement-Kraugr-Drak'thul;55;false;0;52433;42824;0;-11;1610;1607;Fire;true
1615981872;572;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PRIEST-Discipline-Fto-Archimonde,ROGUE-Subtlety-Momohaha-Hyjal;115;false;0;82611;18213;0;-10;1634;1644;Fire;true
1615981648;572;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PALADIN-Holy-Zeall-TarrenMill,ROGUE-Assassination-Rofllmfao-Draenor;80;true;0;113241;67230;0;13;1608;1609;Fire;true
1615925758;572;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PRIEST-Discipline-Polemon-Dalaran,WARRIOR-Arms-Reinhàrd-Hyjal;33;true;1;14970;15626;0;13;1606;1611;Fire;true
1615925644;1504;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PALADIN-Holy-Dopebuddy-Aegwynn,WARRIOR-Arms-Tharica-Antonidas;94;false;0;128269;13575;0;-11;1632;1634;Fire;true
1615925462;2167;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;MONK-Windwalker-Антизах-СвежевательДуш,SHAMAN-Restoration-Рейшаг-Ревущийфьорд;46;true;2;67251;16004;0;13;1606;1606;Fire;true
1615925181;2373;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;MAGE-Fire-Магуччи-Гордунни,ROGUE-Subtlety-Майтилал-Гордунни;51;false;0;43291;77;0;-11;1632;1632;Fire;true
1615924837;2373;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;DEATHKNIGHT-Frost-Hjorum-Eredar,PRIEST-Discipline-Azmodeos-Eredar;129;true;0;116406;71577;0;14;1632;1634;Fire;true
1615924590;1505;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PRIEST-Holy-Unkilo-Kael'thas,WARRIOR-Arms-Warrakech-Kael'thas;58;true;1;116670;27668;0;13;1606;1603;Fire;true
1615924455;572;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PALADIN-Holy-Skalgol-DieAldor,PALADIN-Retribution-Bugan-DieAldor;52;true;1;36066;20071;0;13;1581;1575;Fire;true
1615924305;1552;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;MONK-Windwalker-Flymd-Ravencrest,PRIEST-Discipline-Cytiva-Sunstrider;91;false;0;95546;12357;0;-11;1607;1608;Fire;true
1615924107;1504;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PALADIN-Holy-Azah-Azshara,WARRIOR-Arms-Sylvion-Hakkar;59;true;0;95360;16070;0;13;1581;1582;Fire;true
1615923969;1505;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;DRUID-Balance-Prok-Ravencrest,PRIEST-Holy-Yeetusdelets-Outland;90;true;1;69334;42015;0;12;1554;1556;Fire;true
1615923769;2373;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;DRUID-Balance-Creedem-Blackrock,PALADIN-Retribution-Smartass-Blackrock;44;false;0;53443;18852;0;-11;1580;1580;Fire;true
1615923617;1672;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PALADIN-Holy-Holyburn-BurningBlade,WARRIOR-Arms-Niemaa-Frostwolf;65;true;0;69273;3454;0;12;1555;1550;Fire;true
1615923462;980;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;DEATHKNIGHT-Frost-Dagaimz-Kazzak,MONK-Windwalker-Deretrox-TwistingNether;48;false;0;51870;40717;0;-11;1581;1579;Fire;true
1615923321;2373;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PALADIN-Retribution-Джамбобрат-Гордунни,SHAMAN-Restoration-Нервайн-Ревущийфьорд;173;true;2;219884;41206;0;12;1555;1558;Fire;true
1615923069;1552;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;DRUID-Restoration-Sinful-Runetotem,WARRIOR-Arms-Notz-Kilrogg;35;true;0;53974;15635;0;12;1529;1526;Fire;true
1615922954;1504;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PRIEST-Discipline-Calindría-Silvermoon,WARLOCK-Destruction-Zionns-Silvermoon;36;true;0;82954;15494;0;11;1502;1506;Fire;true
1615922828;1552;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;DRUID-Restoration-Tamburo-TheMaelstrom,WARRIOR-Arms-Ryangonewild-TheMaelstrom;57;true;1;72207;19238;0;11;1476;1476;Fire;true
1615896512;572;6;MAGE-Fire-Elinwe,PALADIN-Retribution-Сиаобэла-Ревущийфьорд,PRIEST-Discipline-Компеона-СвежевательДуш;PRIEST-Shadow-Belok-Ravencrest,SHAMAN-Restoration-Kazashi-Outland,WARLOCK-Affliction-Snyf-Silvermoon;172;false;1;137993;23353;0;-14;1418;1421;Fire;true
1615896244;1825;6;MAGE-Fire-Elinwe,PALADIN-Retribution-Сиаобэла-Ревущийфьорд,PRIEST-Discipline-Компеона-СвежевательДуш;PALADIN-Retribution-Фейтфулл-Гордунни,PRIEST-Discipline-Masood-Ravencrest,WARRIOR-Arms-Melabufe-DunModr;175;false;0;189043;107325;0;-14;1448;1443;Fire;true
1615895951;1505;6;MAGE-Fire-Elinwe,PALADIN-Retribution-Сиаобэла-Ревущийфьорд,PRIEST-Discipline-Компеона-СвежевательДуш;DEATHKNIGHT-Frost-Филтифрэнк-Ревущийфьорд,PALADIN-Retribution-Сно-СвежевательДуш,PRIEST-Discipline-Ангеловх-СвежевательДуш;35;false;0;34124;12800;0;-13;1476;1483;Fire;true
1615895784;2167;6;MAGE-Fire-Elinwe,PALADIN-Retribution-Сиаобэла-Ревущийфьорд,PRIEST-Discipline-Компеона-СвежевательДуш;DEATHKNIGHT-Frost-Deutschepass-Blackrock,SHAMAN-Restoration-Spukki-Eredar,WARRIOR-Arms-Lgbtqplus-Blackrock;109;true;1;114358;49792;0;10;1448;1441;Fire;true
1615895571;1825;6;MAGE-Fire-Elinwe,PALADIN-Retribution-Сиаобэла-Ревущийфьорд,PRIEST-Discipline-Компеона-СвежевательДуш;DRUID-Restoration-Boborius-Gul'dan,PALADIN-Retribution-Hellsong-Kil'jaeden,WARRIOR-Arms-Miroslav-Gul'dan;47;true;0;70339;487;0;9;1418;1420;Fire;true
1615853169;2373;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;DRUID-Restoration-Bremek-BurningLegion,WARRIOR-Arms-Solax-Kazzak;316;false;0;178111;144361;0;-13;1511;1512;Fire;true
1615852766;1911;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;DRUID-Restoration-Ineedtoshift-Naxxramas,WARLOCK-Affliction-Freaq-Outland;325;true;0;332706;100322;0;10;1484;1488;Fire;true
1615852343;1672;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;MAGE-Fire-Nothininside-Outland,ROGUE-Subtlety-Balton-Neptulon;53;false;0;45394;46499;0;-13;1509;1515;Fire;true
1615852195;1504;4;DRUID-Balance-Soraïmk,MAGE-Fire-Elinwe;PALADIN-Retribution-Pureskills-TheMaelstrom,SHAMAN-Restoration-Shasky-Eldre'Thalas;122;false;0;118940;72487;0;-13;1536;1531;Fire;true
